순위,상호,별점,별점 리뷰 개수,리뷰 개수,주소
1,이흥용과자점 문현직영점,4.1,26건,109,부산 남구 수영로39번길 2-1 1층
2,겐츠베이커리 본점,3.4,19건,45,부산 남구 분포로 111 LG메트로시티주1상가 1층
3,희와제과,3.5,105건,674,부산 부산진구 전포대로246번길 6 1층
4,롤뺑드빠리,4.5,23건,69,부산 남구 용소로19번길 7 1층
5,옵스 남천본점,2.3,66건,82,부산 수영구 황령대로489번길 37
6,보타닉아덴,3.9,18건,155,부산 남구 전포대로 133 IFC부산 지하1층
7,마이페이보릿쿠키,3.2,100건,764,부산 수영구 광남로 103
8,구월의마카롱,4.4,28건,85,부산 남구 수영로334번길 9 1층
9,라푀유크로와상,4.3,56건,418,부산 부산진구 중앙대로680번가길 38 1층 111호
10,브레드365,4.8,27건,7,부산 남구 못골로41번길 13 동원로얄듀크2차 205동 1층 101호
11,아델라7 대연점,2.3,4건,7,부산 남구 황령대로319번나길 30 1층
12,파리바게뜨 경성대점,2.0,2건,6,부산 남구 용소로 6
13,노베이커노베이커스,4.1,18건,258,부산 부산진구 전포대로 227 태백빌딩 1층
14,초량온당,4.5,43건,295,부산 동구 초량중로 135 1층
15,메츠과자점,3.6,25건,56,부산 남구 수영로266번길 46 1층
16,달콤왕가탕후루 용호빌리브점,5.0,2건,0,부산 남구 분포로 61
17,메트르아티정,3.6,44건,92,부산 수영구 남천동로22번길 21
18,옵스 LG메트로시티점,3.3,3건,9,부산 남구 분포로 113 메트로시티상가 1005동 111호
19,식스브레드,4.7,9건,44,부산 남구 신선로 566 GS자이아파트 상가 123호
20,더베이베이커리,4.6,8건,89,부산 수영구 수영로510번길 30 1층
21,옵스 해운대점,3.3,171건,416,부산 해운대구 중동1로 31
22,고조미 대만카스테라,2.7,6건,6,부산 남구 용호로 183 1층
23,무슈뱅상,4.4,54건,101,부산 수영구 광남로48번길 19 1층
24,오뜨,4.6,9건,6,부산 남구 유엔평화로13번길 66
